16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16062008;VR-Bank Fläming;28
16062073;Brandenburger Bank;32
16080000;Dresdner Bank;76
16091994;Volksbank Rathenow;32
17000000;Bundesbank;09
17020086;Bayer Hypo- und Vereinsbank;99
17040000;Commerzbank;13
17052000;Sparkasse Barnim;20
17052302;Stadtsparkasse Schwedt;52
17052472;Stadtsparkasse Frankfurt (Oder);52
17054040;Sparkasse Märkisch-Oderland;20
17055050;Sparkasse Oder-Spree;20
17056060;Sparkasse Uckermark;20
17062428;Raiffeisenbank-Volksbank Oder-Spree;32
17080000;Dresdner Bank;76
17092404;VR Bank Fürstenwalde Seelow Wriezen;32
18000000;Bundesbank;09
18020086;Bayer Hypo- und Vereinsbank;99
18040000;Commerzbank;13
18050000;Sparkasse Spree-Neiße;20
18051000;Sparkasse Elbe-Elster;20
18055000;Sparkasse Niederlausitz;20
18062638;Raiffeisenbank Bad Liebenwerda;32
18062678;VR Bank Lausitz;32
18062698;Raiffeisenbank Oberspreewald;32
18062758;VR Bank Forst;32
18080000;Dresdner Bank;76
18092684;Spreewaldbank Volksbank-Raiffeisenbank;32
18092744;Volksbank Spremberg-Bad Muskau;32
18092794;Volks- und Raiffeisenbank Cottbus -alt-;32
20000000;Bundesbank;09
20010020;Postbank (Giro);24
20010111;SEB;13
20010200;HSH Nordbank Hypo;09
20010424;Aareal Bank;09
20010800;Assentus Bank;09
20020000;UBS Lateinamerika;76
20020200;SEB Merchant Bank Hamburg;09
20020500;Jyske Bank Fil Hamburg;09
20020860;Bayer Hypo- und Vereinsbank(ehem. Hypo);99
20020900;Signal Iduna Bauspar;09
20030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
20030300;Donner Bank, C.H.;06
20030400;Marcard, Stein & Co Bankiers;00
20030500;Yapi Kredi Bank Deutschland;06
20030600;Sydbank Fil Hamburg;09
20030700;Merck Finck & Co;10
20030900;Bankhaus Wölbern & Co;06
20040000;Commerzbank;13
20040050;Commerzbank GF COC;13
20040060;Commerzbank Gf 260;09
20040061;Commerzbank Gf 261;09
20041111;comdirect bank;13
20041133;comdirect Bank;13
20050000;HSH Nordbank Hamburg;75
20050550;Hamburger Sparkasse;00
20060000;DZ BANK;09
20069111;Norderstedter Bank;32
20069119;Raiffeisen- und Volksbank;32
20069125;Raiffeisenbank;33
20069130;Raiffeisenbank;32
20069144;Raiffeisenbank;33
20069145;Volks- u Raiffeisenbank Halstenbek-Schenefeld;33
20069177;Raiffeisenbank Südstormarn;32
20069232;Raiffeisenbank;33
20069625;Volksbank;28
20069641;Raiffeisenbank Owschlag;33
20069659;Volksbank;28
20069780;Volksbank Ahlerstedt;28
20069782;Volksbank Geest;28
20069786;Volksbank Kehdingen;28
20069800;Spar- und Kreditbank;28
20069812;Volksbank;28
20069815;Volksbank;28
20069836;Raiffeisenbank;33
20069861;Raiffeisenbank;33
20069882;Raiffeisenbank Travemünde;33
20069965;Volksbank Winsener Marsch;28
20069971;Volksbank Hollenstedt -alt-;28
20069989;Volksbank Wulfsen;28
20070000;Deutsche Bank;63
20070024;Deutsche Bank Privat und Geschäftskunden;63
20070800;Schiffshypothekenbank zu Lübeck;09
20070989;Eurohypo Ndl DB;63
20080000;Dresdner Bank;76
20080090;Dresdner Bank Gf Hamburg;76
20080100;Dresdner Bank Lateinamerika;76
20089200;Dresdner Bank ITGK;09
20090400;Deutsche Genossenschafts-Hypothekenbank;09
20090500;NetBank;81
20090602;Deutsche Apotheker- und Ärztebank;14
20090700;Edekabank;50
20090900;PSD Bank Nord;91
20110022;Postbank (Spar);09
20110401;Eurohypo ehem Rheinische Hypothekenbank;09
20110600;Bankhaus Fischer & Co;09
20110700;Bank of Tokyo-Mitsubishi, The -;09
20110800;Bank of China Fil Hamburg;09
20120000;Berenberg, Joh. - Gossler & Co;00
20120100;Warburg, M.M.- Bank;58
20120200;BHF-BANK;60
20120400;Deutscher Ring Bausparkasse;09
20120600;Goyer & Göppel;09
20120700;Hanseatic Bank;16
20120701;Hanseatic Bank Zw Nord;16
20120744;Hanseatic Bank Filiale Ost;B9
20120766;Hanseatic Bank Filiale Süd;B9
20130400;Hesse Newman & Co;00
20130412;Hesse Newman & Co. Bankhaus Ass. Backed Sec;00
20130600;Barclaycard Barclays Bank;09
20150000;TxB Transaktionsbank;09
20190003;Hamburger Bank von 1861 Volksbank;10
20190109;Volksbank Stormarn;48
20190206;Volksbank Hamburg Ost-West;10
20190301;Vierländer Volksbank;10
20190800;MKB Mittelstandskreditbank;28
20210200;Bank Melli Iran;19
20210300;Bank Saderat Iran;09
20220100;DnB NOR Bank ASA Filiale Deutschland;09
20220400;Warburg, M.M. - Hypothekenbank;09
20230300;Schröder, Otto M. - Bank;09
20230600;Isbank Fil Hamburg;06
20230800;Sutor, Max Heinr;09
20310300;Europäisch-Iranische Handelsbank;06
20310600;ABN AMRO Bank Ndl Deutschland;10
20320500;Danske Bank;09
20330300;Indonesische Overzeese Bank, De -;09
20350000;WestLB Hamburg;08
20690500;Sparda-Bank Hamburg, HH-Altona;09
20730000;Bayer HypoVereinsbank ex Vereins und Westbank;68
20730051;Bayer HypoVereinsbank ex Vereins und Westbank;68
20730053;Bayer HypoVereinsbank ex Vereins und Westbank;68
20730054;Bayer HypoVereinsbank ex Vereins und Westbank;68
20750000;Sparkasse Harburg-Buxtehude;00
21000000;Bundesbank;09
21010111;SEB;13
21010228;BANK COMPANIE NORD;62
21030000;Bayer HypoVereinsbank ex Vereins und Westbank;68
21030092;Bayer HypoVereinsbank ex Vereins und Westbank;68
21030093;Bayer HypoVereinsbank ex Vereins und Westbank;68
21030094;Bayer HypoVereinsbank ex Vereins und Westbank;68
21030095;Bayer HypoVereinsbank ex Vereins und Westbank;68
21040010;Commerzbank;13
21042076;Commerzbank;13
21050000;HSH Nordbank Hamburg, Kiel;09
21050170;Sparkasse Kiel;74
21051275;Bordesholmer Sparkasse;04
21051580;Sparkasse Kreis Plön;00
21052090;Sparkasse Eckernförde;00
21060237;Evangelische Darlehnsgenossenschaft;33
21060500;Deutsche Genossenschafts-Hypothekenbank Kiel;08
21064045;Raiffeisenbank im Kreis Plön;33
21065074;Eckernförder Bank Volksbank-Raiffeisenbank;33
21070020;Deutsche Bank;63
